Time,GHI_1_Jun_Pe,GHI_2_Jun_Pe,GHI_3_Jun_Pe,GHI_4_Jun_Pe,GHI_5_Jun_Pe,GHI_6_Jun_Pe,GHI_7_Jun_Pe,GHI_8_Jun_Pe,GHI_9_Jun_Pe,GHI_10_Jun_Pe,GHI_11_Jun_Pe,GHI_12_Jun_Pe,GHI_13_Jun_Pe,GHI_14_Jun_Pe,GHI_15_Jun_Pe,GHI_16_Jun_Pe,GHI_17_Jun_Pe,GHI_18_Jun_Pe,GHI_19_Jun_Pe,GHI_20_Jun_Pe,GHI_21_Jun_Pe,GHI_22_Jun_Pe,GHI_23_Jun_Pe,GHI_24_Jun_Pe,GHI_25_Jun_Pe,GHI_26_Jun_Pe,GHI_27_Jun_Pe,GHI_28_Jun_Pe,GHI_29_Jun_Pe,GHI_30_Jun_Pe
14:10:00,467.3,468.2,488,484.4,485,440.3,474.6,467.9,459.8,335.8,398.3,465.4,490,470.8,467.9,377.3,509.2,488,443.3,491,293.7,491.6,496.6,494,495.6,475.6,473.3,548.6,350.2,464.8
14:20:00,441.5,435.2,462.9,461.6,457.6,442.7,448.7,442.1,434.1,378.6,335.6,328,464.1,445.7,442.7,459.1,474,459.8,433.5,467,383.7,467.3,471.4,468.9,470.8,424.7,448.7,310.9,424.5,443
14:30:00,353.1,408.7,436.4,435.2,428.8,450.2,420.2,414.2,407.8,345.5,271.9,437.9,437,419,416.5,239.2,447.8,435.2,452,440.3,507.5,440,444.5,442.4,443.9,197.1,422.2,218.5,344.1,411.4
14:40:00,392.7,388.2,408.4,404.5,401.8,428.5,391.9,389.2,381.2,351.2,370.7,410.3,408.1,390.8,389.5,133.7,442.7,407,284.3,412.8,405.1,412,417.1,414.5,416.2,385.6,393.7,118.3,389,384.3
14:50:00,338.1,362,380.6,373,372,363,362.8,359.1,352.4,245.8,319.4,381.9,379.9,360.1,360.3,122.7,307.3,379.9,168.1,384.3,237.6,383,388.7,385.6,386.9,452.3,364.7,126.1,358.4,356.9
15:00:00,384.3,331.1,350.7,343.4,343.2,279.5,332.7,330.9,321.4,170.9,148.5,350.7,349.5,331.5,331.1,82.6,128.7,351.7,173.1,354.3,104.6,354,358.9,356,356.7,415.4,336.1,210.7,328,323.6
15:10:00,290.9,303.6,320.1,310.9,312.2,197.8,303,300.8,290.3,182.5,206.7,320.3,319.2,301.4,301.4,103.5,141.6,320.5,171.8,323.6,244.2,323.8,329.1,325.5,327.3,403.5,306.3,259.3,298.3,296.3
15:20:00,320.1,272.3,289.4,278.2,280.5,162.1,270.8,268.2,259.7,158.7,164.5,287.4,288,270.2,271,131.9,128.9,292.1,176.9,291.5,304.6,292.9,297.7,294.7,295.9,283.4,276.5,249,269.7,263.7
15:30:00,167.5,241.4,257,247,247.3,139.5,240.4,239.2,228.6,224.6,109.8,259.3,255.8,239.7,239.2,287.8,101.4,256.5,331.8,263.4,263.4,261.4,266.6,263.4,264.1,178.5,245.5,227.7,239.9,235.7
15:40:00,206.7,208.7,224.3,212.2,216,185,207.8,207.8,196.9,149.1,58.8,225.7,223.4,208.2,207,105,110.4,229.9,171.6,232.5,231,229.7,234.1,231.9,232.5,259.8,215.3,185.6,207.7,201
15:50:00,101.5,175.7,192.1,182.7,183.6,128.9,176.2,175.8,167.3,146.4,34.7,193.2,191.7,173.1,177.1,82.6,98.2,206,192.5,199.4,198.5,198.2,204.9,200.4,200.4,206.1,185.2,174.2,178.2,175.2
