Time,GHI_1_Feb_MPT_1,GHI_2_Feb_MPT_1,GHI_3_Feb_MPT_1,GHI_4_Feb_MPT_1,GHI_5_Feb_MPT_1,GHI_6_Feb_MPT_1,GHI_7_Feb_MPT_1,GHI_8_Feb_MPT_1,GHI_9_Feb_MPT_1,GHI_10_Feb_MPT_1,GHI_11_Feb_MPT_1,GHI_12_Feb_MPT_1,GHI_13_Feb_MPT_1,GHI_14_Feb_MPT_1,GHI_15_Feb_MPT_1,GHI_16_Feb_MPT_1,GHI_17_Feb_MPT_1,GHI_18_Feb_MPT_1,GHI_19_Feb_MPT_1,GHI_20_Feb_MPT_1,GHI_21_Feb_MPT_1,GHI_22_Feb_MPT_1,GHI_23_Feb_MPT_1,GHI_24_Feb_MPT_1,GHI_25_Feb_MPT_1,GHI_26_Feb_MPT_1,GHI_27_Feb_MPT_1,GHI_28_Feb_MPT_1,GHI_29_Feb_MPT_1
7:24:00,320.9371,172.4438,192.8017,419.1342,489.7883,,,489.7883,348.4802,276.6286,,,,,248.8281,333.9885,318.0210,348.4802,33.2658,87.8217,162.3371,,,,300.7228,199.5947,,311.3678,107.7812
7:25:00,326.9247,173.6413,183.2215,416.7392,389.1960,,,389.1960,219.1473,282.6162,,,,,264.7957,340.6417,320.6822,219.1473,31.9352,89.1523,157.0145,,,,306.0453,211.5704,,316.6903,110.4424
7:26:00,337.7024,172.4438,182.0240,470.6278,404.7639,,,404.7639,377.2208,282.6162,,,,,162.3371,343.3030,319.3516,377.2208,30.6045,89.1523,154.3533,,,,308.7065,188.9497,,318.0210,114.4343
7:27:00,346.0851,172.4438,191.6042,377.2208,300.5791,,,300.5791,320.9371,286.2088,,,,,111.7731,347.2949,322.0129,320.9371,26.6126,90.4830,154.3533,,,,311.3678,191.6110,,320.6822,115.7650
7:28:00,343.6901,168.8512,199.9869,405.9614,393.9862,,,393.9862,270.6410,288.6039,,,,,99.7974,352.6174,327.3354,270.6410,23.9514,94.4749,158.3452,,,,315.3597,194.2722,,326.0047,121.0875
7:29:00,346.0851,171.2463,201.1844,329.3197,371.2332,,,371.2332,232.3201,288.6039,,,,,93.1442,356.6093,329.9966,232.3201,19.9595,98.4667,162.3371,,,,319.3516,187.6191,,329.9966,117.0956
7:30:00,353.2703,178.4314,198.7894,298.1841,360.4554,,,360.4554,346.0851,294.5915,,,,,94.4749,357.9399,333.9885,346.0851,21.2901,101.1280,167.6596,,,,323.3435,188.9497,,335.3192,114.4343
7:31:00,350.8752,186.8141,198.7894,474.2204,373.6282,,,373.6282,130.5304,298.1841,,,,,101.1280,365.9237,337.9804,130.5304,19.9595,105.1199,171.6515,,,,328.6660,184.9578,,339.3111,111.7731
7:32:00,354.4678,197.5918,195.1968,410.7515,371.2332,,,371.2332,225.1350,302.9742,,,,,113.1037,368.5850,341.9723,225.1350,15.9676,106.4505,172.9821,,,,332.6579,179.6353,,345.9642,110.4424
7:33:00,364.0480,209.5671,192.8017,547.2695,344.8876,,,344.8876,334.1098,310.1593,,,,,129.0713,372.5768,348.6255,334.1098,-1.3306,106.4505,174.3127,,,,337.9804,188.9497,,349.9561,102.4586
